Date            	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M12	M13	M14	M15	M16	M17	P01	P02	P03
11/5/12 15:20	1	3	1	20	--	11	11	28	15	10	4	6	2	27	8	7	10	2	
11/5/12 15:30	2	1	5	24	--	13	17	28	13	12	6	5	4	30	7	8	9	2	
11/5/12 15:40	3	1	8	26	--	13	16	27	10	16	8	6	4	37	5	1	7	8	5
11/5/12 15:50	5	1	9	20	--	7	21	33	4	21	10	7	2	24	15	1	12	8	11
11/5/12 16:00	9	5	10	11	--	7	20	34	2	21	9	8	8	30	17	3	14	13	12
11/5/12 16:10	12	7	10	17	--	7	15	34	3	22	13	6	11	30	21	6	12	15	13
11/5/12 16:20	12	11	9	15	--	14	15	28	3	27	14	3	10	22	24	5	19	7	14
11/5/12 16:30	15	11	11	16	--	16	16	27	4	26	12	2	7	23	24	3	21	9	13
11/5/12 16:40	14	8	10	15	--	26	22	12	11	19	12	2	1	19	11	23	11	4	
